     湛江 北海 凭祥 澳门 香港 深圳 南宁 肇庆 广州 汕头 个旧 畹町 柳州 厦门 韶关  昆明    龙岩 桂林 大理 郴州 赣州 福州  都匀    三明 攀枝花 六盘水 贵阳 衡阳 怀化 萍乡 遵义 西昌 温州 长沙 鹰潭 椒江 南昌 宜宾 常德 金华 日喀则 景德镇 岳阳 重庆 拉萨  九江    黄山 宁波 黄石 杭州 沙市 安庆 武汉  成都    宜昌 上海 芜湖 绵阳 无锡 合肥 襄樊 南京 信阳 扬州 十堰  蚌埠    南阳 汉中 徐州 西安 宝鸡 天水 连云港 洛阳 郑州 开封 运城 济宁 兰州  青岛    临汾 安阳 长治 格尔木  延安     西宁 邯郸 济南 潍坊 和田 荣成 德令哈 烟台 太原 青铜峡  石家庄    榆林 银川 保定 大连 张掖 天津 喀什 唐山 北京 秦皇岛 丹东 大同   敦煌    玉门 包头 营口 张家口 呼和浩特 承德  锦州    鞍山 阿克苏 沈阳  通化    哈密 图们 四平 二连浩特  乌鲁木齐    长春 锡林浩特 牡丹江 鸡西 白城 哈尔滨 塔城 佳木斯 齐齐哈尔 同江 阿勒泰 海拉尔 满洲里  黑河   
湛江 0.0 130.5112 382.0044 344.3661 410.3383 407.0082 267.91 293.1691 363.2026 690.0074 776.1729 1299.631 353.3759 868.4856 514.6195 866.1259 801.1239 441.7734 1139.235 568.6446 688.4496 1054.9407 625.5917 925.3001 1057.7509 815.7954 708.108 663.9605 701.5174 789.9034 797.6822 1100.6628 1283.8733 816.5579 1030.647 1386.0613 992.7817 1011.5915 873.3775 1275.0583 2330.2594 1122.6701 941.6136 997.9145 2141.1199 1095.6008 1233.8425 1477.6726 1097.7755 1402.3183 1023.0436 1227.9098 1108.5064 1217.3355 1051.6222 1564.7227 1378.5705 1266.9898 1506.3602 1356.8314 1206.9859 1462.609 1265.0488 1526.6756 1264.0006 1469.5448 1320.751 1352.8875 1590.8186 1460.05 1487.3698 1547.865 1717.0608 1498.5559 1532.4993 1553.2894 1531.4513 1685.4058 1762.5332 1911.4649 1651.8503 1694.8477 1681.6797 2250.5936 1705.6902 1898.0101 1755.2721 1830.998 1916.1736 3417.1507 2119.7954 2184.4829 2092.9647 1857.895 1907.37 1906.8883 1893.5863 1955.2474 2016.797 2236.0464 2179.561 2086.1316 3833.6486 2172.6265 2149.6905 2253.3863 2469.2373 2110.1721 2571.114 2461.2376 2156.7613 2431.0931 2210.1306 2180.1616 2302.5738 2426.8088 2505.787 3586.6592 2582.687 2702.8273 2861.7955 3015.1306 2759.337 2491.9273 3268.4618 2862.597 2574.7238 3134.8884 3267.1699 2936.7058 3098.7561 3756.0694 3361.2562 3145.6079 3539.6792 3560.5942 3215.917 3210.6079 3556.242
北海 130.5112 0.0 251.96 463.1866 529.3209 522.7308 167.8412 385.4988 463.7358 804.3783 647.2756 1169.8359 318.5114 976.753 588.9473 743.4425 900.0724 432.4029 1014.6618 620.1019 764.1355 1154.2872 555.8666 1016.0077 941.1558 715.8988 627.9929 695.8829 683.0369 834.0716 729.3742 993.7824 1374.3125 843.6192 1100.1531 1474.6682 1049.1712 925.5137 878.6625 1353.5192 2205.248 1185.0387 964.1646 934.6916 2018.2511 1145.5011 1300.6601 1559.5046 1135.8305 1475.6898 1030.767 1280.6531 1137.1651 1137.2505 1046.7651 1637.7972 1435.3603 1195.2214 1572.6428 1403.0242 1208.0745 1517.4798 1284.4649 1583.1598 1250.9501 1511.0111 1323.3326 1305.3333 1625.5942 1430.1635 1444.05 1493.9631 1761.4576 1496.9992 1539.7056 1565.4908 1518.0158 1711.1032 1700.5255 1955.3733 1641.2366 1704.1501 1682.1454 2154.0799 1680.6397 1826.9477 1764.2702 1855.616 1951.5701 3301.5761 2168.4231 2098.1535 2136.1631 1852.0779 1862.2267 1912.6081 1870.2439 1911.6144 2026.1252 2274.6285 2109.1406 2104.0218 3720.1112 2193.8425 2161.6738 2280.1631 2514.2484 2105.858 2485.0107 2382.415 2133.9309 2466.3241 2212.9167 2167.0735 2319.4145 2456.4963 2542.3725 3479.727 2619.0175 2747.0912 2779.8385 3065.8895 2794.2766 2478.0676 3177.1278 2898.6285 2577.8567 3180.2657 3313.4029 2960.4718 3132.7076 3664.7116 3401.7556 3168.5474 3582.4941 3479.5486 3223.3075 3210.5469 3581.7412
凭祥 382.0044 251.96 0.0 697.3509 762.2182 751.5428 183.3768 593.905 676.1296 1025.89 396.2737 917.8821 368.6954 1186.011 759.4433 505.3345 1095.5572 494.6609 770.5106 754.6218 927.3534 1346.1085 469.9079 1195.6664 714.7463 537.5964 507.2782 793.1175 690.9955 942.9614 627.3854 788.8654 1547.7394 922.5892 1242.1766 1643.6323 1170.1041 770.8255 916.3253 1506.0631 1958.6564 1312.6023 1028.8455 830.9685 1775.1868 1252.1965 1433.5438 1715.2946 1221.7427 1617.3206 1065.2052 1388.93 1206.0669 989.0476 1056.703 1776.7558 1547.7636 1063.4282 1700.0766 1496.8189 1223.2435 1624.974 1331.8434 1692.5595 1237.4707 1594.045 1337.8779 1221.2428 1694.2056 1378.6005 1365.2173 1392.6079 1845.9482 1499.3468 1557.9435 1592.7233 1496.8899 1761.2966 1579.2992 2036.541 1623.1696 1723.349 1684.7772 1959.8202 1633.619 1685.8573 1781.9132 1901.6437 2016.7511 3069.6052 2256.3288 1924.2305 2214.1059 1839.8825 1772.6728 1921.8089 1823.6451 1824.436 2040.8054 2342.5415 1966.6922 2134.1983 3491.2849 2229.4284 2179.9176 2325.5369 2592.5158 2093.3275 2309.4504 2221.5532 2085.1052 2526.2716 2212.9415 2136.8654 2345.4176 2505.9243 2604.3412 3262.6895 2679.9581 2822.4072 2611.0425 3151.9816 2851.4127 2443.4626 2989.2785 2957.2451 2575.3192 3255.4375 3389.6368 2995.1325 3186.0673 3475.7736 3466.5249 3200.4917 3651.0253 3310.2894 3224.9754 3197.8976 3616.7534
澳门 344.3661 463.1866 697.3509 0.0 66.195 65.4895 535.5383 145.6807 107.3346 346.4043 1071.7835 1595.8073 482.0326 529.1888 290.3011 1129.1887 476.9633 479.4347 1403.9764 400.6238 427.63 725.6871 759.0703 613.6475 1291.6212 1007.7364 856.6581 530.6775 695.6692 603.5761 906.3909 1299.7271 966.2336 673.2541 761.5823 1070.389 757.2477 1151.9787 781.5529 979.6445 2585.3572 866.4653 797.2602 1075.9516 2385.9063 870.5074 963.8546 1172.8352 902.081 1114.7618 910.8103 990.2871 936.0397 1330.0705 970.2349 1275.2748 1126.974 1353.5994 1231.4832 1130.2511 1099.8689 1213.2406 1107.7887 1272.3393 1190.7998 1250.7361 1203.9667 1367.9669 1384.5764 1422.6704 1485.3791 1573.0589 1485.8493 1385.2046 1395.6042 1403.1463 1447.7702 1498.487 1804.4888 1678.0953 1556.8847 1547.8867 1557.3536 2390.4202 1647.1144 1963.3027 1607.5326 1643.4696 1701.9004 3620.7824 1873.4975 2291.6793 1858.7025 1745.1038 1898.1657 1763.8739 1825.6064 1940.7872 1862.7015 2010.2451 2237.706 1910.0777 4026.8097 1987.3549 1986.857 2054.0491 2227.2483 1988.4169 2672.7054 2541.0052 2082.0416 2210.6426 2068.9075 2079.6041 2125.872 2218.8157 2281.642 3754.0069 2358.4205 2460.6187 2947.14 2757.7539 2536.6838 2388.6591 3381.3694 2636.8182 2427.7524 2887.7888 3017.6842 2737.5831 2875.9436 3866.1235 3123.1173 2946.8776 3295.9649 3637.6675 3052.8211 3065.5283 3349.3953
香港 410.3383 529.3209 762.2182 66.195 0.0 26.9509 598.1225 193.312 129.711 281.5805 1133.9615 1657.2442 533.0807 466.5855 282.9207 1187.468 421.5552 518.2449 1461.6973 401.3161 397.8684 666.6906 803.6801 561.7633 1345.5571 1057.5078 901.9477 533.2964 719.3027 590.1964 945.1686 1348.7582 910.4368 668.7228 721.9405 1014.9154 727.2656 1193.1662 786.0795 930.5736 2640.1146 829.4144 789.735 1107.8482 2439.2818 841.837 922.1559 1120.305 880.5431 1067.3391 908.6144 957.1227 919.7296 1365.6425 973.7521 1226.7557 1089.1875 1384.6749 1187.0465 1098.8384 1096.3861 1175.5524 1093.142 1233.0927 1193.4979 1220.4724 1197.4109 1386.3068 1356.5909 1430.6807 1499.7705 1591.9963 1451.4462 1378.0029 1383.2744 1387.8651 1446.3507 1474.4287 1825.4071 1642.5151 1552.5028 1532.508 1546.8065 2426.8365 1649.6454 1987.8386 1591.6965 1618.646 1670.7337 3666.5277 1834.332 2322.6918 1822.4199 1736.1113 1909.2027 1748.3937 1825.4526 1950.6622 1844.4681 1975.5792 2260.1475 1886.8931 4070.533 1961.9085 1966.3347 2025.2961 2188.4228 1976.6474 2701.9792 2566.6431 2079.617 2176.791 2052.7863 2071.9406 2101.952 2187.7592 2246.822 3793.4949 2323.4432 2421.3969 2973.0768 2714.6997 2501.7971 2379.6119 3411.6725 2601.0925 2409.5331 2846.9652 2976.2005 2707.6224 2840.5895 3895.4433 3084.0989 2916.7296 3255.5563 3661.2457 3030.1672 3046.6356 3317.059
深圳 407.0082 522.7308 751.5428 65.4895 26.9509 0.0 584.6034 173.5527 105.0079 283.0067 1119.6044 1642.0441 512.5719 464.0882 256.7376 1170.0255 412.0918 494.0849 1443.8167 374.6426 376.3434 660.2483 780.6655 549.9823 1325.684 1036.0138 879.0656 506.5854 692.787 565.2637 920.6556 1326.8962 901.406 642.6515 704.1889 1005.6622 706.1966 1169.0963 759.3338 917.3007 2620.4398 810.7327 764.0645 1082.1075 2418.9739 820.4544 905.3432 1109.0894 857.3689 1053.2296 882.3863 937.1555 895.4917 1340.4131 947.0912 1213.2481 1070.8747 1358.7778 1171.5146 1078.3647 1070.3245 1157.2257 1068.6533 1215.3726 1166.9146 1199.6832 1171.721 1359.4265 1335.1762 1403.8355 1472.8206 1565.1289 1432.0139 1352.4224 1358.4478 1363.5505 1420.1266 1452.0069 1798.6115 1623.514 1526.5973 1508.2325 1521.7201 2401.6479 1623.1071 1961.25 1567.5137 1596.4365 1650.2963 3643.3949 1816.6696 2296.7136 1803.687 1710.8145 1882.2827 1724.1625 1799.1391 1923.7702 1820.7831 1956.301 2233.4177 1864.3114 4046.8359 1939.8968 1943.1474 2004.1856 2170.6598 1951.7932 2675.7873 2540.119 2053.5346 2157.2575 2028.7028 2046.4833 2079.5686 2167.3401 2227.6182 3768.8313 2304.2984 2403.8018 2946.5672 2698.6937 2482.6327 2354.3655 3385.5765 2582.2227 2385.8883 2830.0267 2959.538 2686.9081 2821.6029 3869.2304 3066.4568 2896.0808 3238.4658 3634.5604 3007.5318 3023.1609 3297.0957
南宁 267.91 167.8412 183.3768 535.5383 598.1225 584.6034 0.0 419.6273 501.8032 852.0113 536.2898 1060.8344 199.6646 1006.9204 576.1828 605.8774 913.8034 327.0405 880.9628 573.3051 744.074 1163.5068 392.0739 1012.3744 791.095 550.9688 460.7148 619.916 553.0633 767.8601 564.8562 833.2905 1364.4178 756.2715 1061.4618 1460.5099 993.1979 757.7021 766.5505 1324.2963 2070.8171 1134.681 868.591 771.1459 1878.5505 1079.1574 1254.8156 1533.3314 1054.9268 1437.2887 918.1704 1215.9063 1045.2683 969.5308 921.8098 1597.3945 1374.0349 1028.6426 1522.9572 1328.423 1086.6728 1452.768 1180.4716 1519.9584 1116.6902 1429.5334 1202.2003 1147.4696 1535.3014 1282.2455 1287.9729 1332.6775 1681.5194 1370.7854 1421.2401 1451.6652 1381.6985 1610.1518 1535.9997 1873.6492 1506.5672 1586.6642 1556.656 1988.5906 1535.0287 1660.1177 1646.1732 1752.6633 1859.9124 3149.552 2091.3885 1930.5288 2052.6755 1720.4379 1704.3023 1790.775 1725.2245 1754.3621 1907.1675 2185.139 1942.3328 1993.0221 3565.7635 2085.8473 2044.7178 2177.6203 2431.4434 1974.6 2317.3953 2214.6252 1988.62 2372.3395 2087.394 2028.6909 2206.6176 2356.4607 2449.6671 3319.6602 2525.7928 2662.6776 2612.0066 2988.556 2699.0167 2338.4435 3010.3542 2804.326 2451.7024 3096.1183 3230.0052 2852.9406 3035.5845 3497.9756 3311.4606 3059.7735 3494.5614 3311.7097 3099.7215 3080.5863 3474.8878
肇庆 293.1691 385.4988 593.905 145.6807 193.312 173.5527 419.6273 0.0 82.3167 432.5964 950.9736 1471.5807 339.7829 594.5775 227.4406 997.0648 514.5823 334.497 1270.5403 307.5521 397.5865 768.8276 613.6311 633.5098 1152.3891 864.6092 711.4036 427.1587 560.1251 527.2956 761.0149 1156.1714 992.274 578.0294 740.8966 1093.9021 712.4163 1006.3016 669.3013 982.1049 2447.0621 836.6341 704.8547 932.9804 2245.9927 820.13 944.7297 1184.5089 835.3449 1110.3095 807.5689 948.5949 858.0647 1185.3642 857.4516 1272.6497 1095.156 1210.8043 1216.86 1082.5491 996.9298 1180.2515 1024.5577 1242.8936 1077.6925 1199.1292 1105.367 1234.9555 1326.6813 1301.2919 1356.232 1439.1 1442.3724 1286.605 1305.9202 1318.8863 1339.5831 1431.2666 1668.447 1636.4415 1452.8943 1463.0366 1463.6825 2245.2918 1532.4451 1824.2321 1523.2664 1577.1091 1649.4479 3475.872 1840.1829 2148.5221 1817.9869 1648.0328 1772.0479 1678.3021 1714.3267 1815.968 1782.0147 1964.9175 2100.0725 1839.1604 3881.4007 1920.9445 1910.2632 1994.6745 2191.8038 1895.4118 2530.3463 2400.8884 1973.5722 2162.6851 1983.5716 1979.3941 2055.8032 2164.2038 2235.8494 3608.3665 2312.8111 2425.5983 2806.7074 2732.5978 2490.423 2290.1227 3238.3716 2592.4188 2345.5459 2856.1804 2987.6614 2679.2662 2830.1625 3723.5635 3086.2819 2888.6239 3262.5842 3498.7043 2978.3042 2983.5774 3295.6194
广州 363.2026 463.7358 676.1296 107.3346 129.711 105.0079 501.8032 82.3167 0.0 350.2987 1032.0753 1551.6786 412.0751 513.7895 189.9862 1074.7841 438.3873 389.0851 1347.3734 294.6612 344.5337 692.5621 676.2182 562.9155 1225.3723 933.2254 774.71 423.8578 592.4599 502.919 815.6856 1223.5393 921.1074 568.0341 686.3044 1023.7073 669.6598 1064.0964 674.3107 918.821 2520.1682 786.7027 692.9082 978.5002 2317.6718 780.8385 890.1782 1118.3418 805.8064 1049.9894 804.5692 904.9753 835.9405 1235.9412 863.0257 1211.9032 1046.8884 1255.538 1160.9474 1042.4421 993.8223 1132.7201 1006.3546 1193.7524 1083.6224 1161.3761 1098.7765 1262.7889 1292.6807 1315.4014 1379.0626 1468.1419 1400.5437 1280.1251 1292.6365 1301.7128 1341.1214 1402.9641 1700.4075 1593.8599 1450.8777 1446.3836 1453.4698 2297.1278 1539.9031 1861.0112 1506.242 1548.4026 1612.6768 3538.7363 1793.5728 2193.6596 1775.0705 1640.5095 1791.2496 1662.2812 1718.6823 1833.7181 1762.6687 1924.5067 2134.3721 1813.4594 3941.9052 1892.4929 1888.2497 1962.0732 2146.464 1884.874 2573.4285 2439.3894 1975.4785 2123.7894 1967.5161 1974.4375 2029.6781 2128.9678 2195.8344 3663.9261 2272.7354 2380.1621 2845.7248 2682.5754 2450.7682 2283.9096 3282.8632 2551.8211 2327.4463 2809.2442 2940.0068 2646.3372 2790.3733 3766.9248 3041.9768 2855.7202 3216.624 3534.9857 2955.2814 2965.4524 3260.2883
汕头 690.0074 804.3783 1025.89 346.4043 281.5805 283.0067 852.0113 432.5964 350.2987 0.0 1379.7599 1896.0893 745.3403 190.6126 352.3143 1413.2638 194.3503 689.4782 1682.344 458.4298 327.6573 401.8889 979.3046 337.7903 1549.2576 1247.1057 1076.8607 571.0527 818.2927 552.7493 1092.2601 1530.1977 654.5273 659.2106 547.3935 758.9325 598.3366 1343.3456 803.4378 702.6158 2839.9392 660.1957 756.0266 1221.3579 2632.8894 710.4661 727.3186 874.5448 778.9027 843.3457 889.3556 799.315 838.8636 1488.2724 974.98 995.6232 906.2023 1487.7162 973.3158 943.4326 1062.2159 990.7233 1011.1091 1040.3363 1181.8989 1066.4664 1146.2613 1435.2347 1209.0584 1434.7106 1529.3396 1639.1029 1275.0408 1318.6572 1301.9155 1293.7946 1409.9185 1341.1217 1877.231 1458.5707 1501.1079 1434.8255 1469.3389 2540.8257 1625.7325 2053.2361 1490.9454 1479.5852 1504.5461 3818.6212 1634.0361 2413.2667 1633.7203 1661.804 1917.4122 1646.5319 1787.1873 1953.3416 1729.7059 1792.0038 2313.5734 1751.0053 4211.8478 1815.8641 1840.5645 1865.124 1986.9895 1887.2645 2782.1027 2631.5649 2028.3588 1994.9357 1944.3431 1998.6762 1960.7942 2016.9637 2060.6799 3915.4653 2136.2199 2217.2338 3036.7643 2495.0644 2313.9646 2297.4991 3492.8031 2409.5357 2289.1681 2635.1589 2761.5763 2538.0707 2649.4711 3970.3517 2878.3089 2745.4975 3044.1682 3711.2958 2888.1451 2919.6865 3135.9005
