city,longtitude,latitude,x,y,city,longtitude,latitude,x,y,city,longtitude,latitude,x,y,city,longtitude,latitude,x,y,city,longtitude,latitude,x,y
湛江,110.36,21.27,12285219,2424102.476,萍乡,113.86,27.62,12674837.22,3201148.41,无锡,120.31,31.49,13392847.94,3696549.814,济南,117.12,36.65,13037738.76,4390432.94,鞍山,122.99,41.11,13691184.17,5028580.203
北海,109.12,21.48,12147182.84,2449206.359,遵义,106.93,27.73,11903393.15,3214975.417,合肥,117.23,31.82,13049983.91,3739705.953,潍坊,119.16,36.71,13264830.52,4398761.247,阿克苏,80.26,41.17,8934502.331,5037449.055
凭祥,106.77,22.09,11885582.03,2522334.244,西昌,102.26,27.89,11383531.13,3235112.372,襄樊,112.12,32.01,12481141.31,3764623.354,和田,79.92,37.11,8896653.704,4454450.48,沈阳,123.45,41.71,13742391.14,5117637.353
澳门,113.54,22.2,12639214.98,2535554.62,温州,120.7,27.99,13436262.54,3247713.077,南京,118.8,32.06,13224755.51,3771189.139,荣成,122.49,37.17,13635524.43,4462829.159,通化 ,125.94,41.73,14019576.67,5120620.167
香港,114.17,22.32,12709346.26,2549988.668,长沙,112.94,28.23,12572423.29,3278002.596,信阳,114.09,32.15,12700440.7,3783016.604,德令哈,97.36,37.37,10838065.62,4490806.269,哈密,93.51,42.81,10409485.58,5283096.48
深圳,114.06,22.54,12697101.12,2576483.399,鹰潭,117.07,28.26,13032172.79,3281793.564,扬州,119.41,32.39,13292660.4,3814613.767,烟台,121.45,37.46,13519752.16,4503420.29,图们,129.84,42.97,14453722.68,5307406.655
南宁,108.37,22.82,12063693.22,2610265.148,椒江,121.44,28.67,13518638.96,3333711.103,十堰,110.8,32.63,12334199.58,3846295.004,太原,112.55,37.87,12529008.69,4561077.415,四平,124.35,43.17,13842578.68,5337883.482
肇庆,112.46,23.05,12518989.93,2638066.413,南昌,115.86,28.68,12897476.2,3334979.91,蚌埠 ,117.39,32.92,13067795.02,3884690.109,青铜峡,106.08,38.02,11808771.58,4582251.527,二连浩特,111.95,43.64,12462216.99,5409899.325
广州,113.26,23.13,12608045.53,2647747.527,宜宾,104.64,28.75,11648471.52,3343864.954,南阳,112.53,32.99,12526782.3,3893976.706,石家庄 ,114.51,38.04,12747194.89,4585078.013,乌鲁木齐 ,87.62,43.82,9753813.783,5437628.892
汕头,116.68,23.35,12988758.19,2674400.452,常德,111.7,29.03,12434387.12,3379464.917,汉中,107.02,33.07,11913411.9,3904598.983,榆林,109.74,38.29,12216200.92,4620474.478,长春,125.32,43.82,13950558.59,5437628.892
个旧,103.16,23.36,11483718.67,2675612.995,金华,119.65,29.08,13319377.07,3385832.188,徐州,117.28,34.21,13055549.88,4057034.872,银川,106.23,38.49,11825469.51,4648879.519,锡林浩特,116.09,43.93,12923079.69,5454615.905
畹町,98.06,24.08,10915989.27,2763159.492,日喀则,88.89,29.27,9895189.537,3410056.074,西安,108.94,34.34,12127145.33,4074547.6,保定,115.46,38.87,12852948.41,4703067.258,牡丹江,129.63,44.55,14430345.59,5550954.228
柳州,109.43,24.33,12181691.88,2793671.916,景德镇,117.18,29.27,13044417.93,3410056.074,宝鸡,107.24,34.36,11937902.19,4077244.273,大连,121.61,38.91,13537563.28,4708788.032,鸡西,130.97,45.3,14579513.71,5668874.642
